tier,name,category,requested_category,chaos_value,divine_value,listing_count,change_percent,source_endpoint,source
T0_JACKPOT,Bladefall of Trarthus,SkillGem,SkillGem,699212.0,1340,4,57.57,stash,poe.ninja
T0_JACKPOT,Dark Pact of Trarthus,SkillGem,SkillGem,696603.0,1335,1,0,stash,poe.ninja
T0_JACKPOT,Mirror of Kalandra,Currency,Currency,690775.0,,9670847,8.32,exchange,poe.ninja
T0_JACKPOT,Awakened Enlighten Support,SkillGem,SkillGem,493101.0,945.0,58,22.28,stash,poe.ninja
T0_JACKPOT,Awakened Empower Support,SkillGem,SkillGem,465967.0,893.0,33,60.79,stash,poe.ninja
T0_JACKPOT,Damnation,Cards,DivinationCard,336389.0,,8521861,-16.93,exchange,poe.ninja
T0_JACKPOT,Vaal Rain of Arrows,SkillGem,SkillGem,234810.0,450.0,1,0,stash,poe.ninja
T0_JACKPOT,Awakened Enlighten Support,SkillGem,SkillGem,208198.0,399.0,2,21.07,stash,poe.ninja
T0_JACKPOT,Awakened Enhance Support,SkillGem,SkillGem,203502.0,390.0,42,12.17,stash,poe.ninja
T0_JACKPOT,Vaal Arc,SkillGem,SkillGem,177934.0,341.0,2,0,stash,poe.ninja
T0_JACKPOT,Vaal Blight,SkillGem,SkillGem,157584.0,302.0,2,0,stash,poe.ninja
T0_JACKPOT,Hinekora's Lock,Currency,Currency,153853.0,,1076974,19.19,exchange,poe.ninja
T0_JACKPOT,Awakened Empower Support,SkillGem,SkillGem,130450.0,250.0,1,30.48,stash,poe.ninja
T0_JACKPOT,Swift Affliction Support,SkillGem,SkillGem,130450.0,250.0,1,0,stash,poe.ninja
T0_JACKPOT,Awakened Empower Support,SkillGem,SkillGem,122623.0,235.0,9,93.89,stash,poe.ninja
T0_JACKPOT,Summon Reaper of Eviscerating,SkillGem,SkillGem,108534.0,208.0,23,0,stash,poe.ninja
T0_JACKPOT,Lightning Spire Trap of Zapping,SkillGem,SkillGem,104360.0,200.0,3,0,stash,poe.ninja
T0_JACKPOT,Sniper's Mark,SkillGem,SkillGem,104360.0,200.0,1,0,stash,poe.ninja
T0_JACKPOT,Greater Multistrike Support,SkillGem,SkillGem,102586.0,196.6,9,-12.87,stash,poe.ninja
T0_JACKPOT,House of Mirrors,Cards,DivinationCard,85656.0,,4625430,12.37,exchange,poe.ninja
T0_JACKPOT,Meat Shield Support,SkillGem,SkillGem,82444.0,158.0,2,0,stash,poe.ninja
T0_JACKPOT,Arcane Cloak,SkillGem,SkillGem,75661.0,145.0,8,0,stash,poe.ninja
T0_JACKPOT,Greater Spell Echo Support,SkillGem,SkillGem,73052.0,140.0,14,-69.15,stash,poe.ninja
T0_JACKPOT,Eclipse Support,SkillGem,SkillGem,72008.0,138.0,33,42.37,stash,poe.ninja
T0_JACKPOT,Eclipse Support,SkillGem,SkillGem,70808.0,135.7,14,24.69,stash,poe.ninja
T0_JACKPOT,Cruelty Support,SkillGem,SkillGem,67834.0,130.0,5,0,stash,poe.ninja
T0_JACKPOT,History,Cards,DivinationCard,62214.0,,186642,24.01,exchange,poe.ninja
T0_JACKPOT,Greater Spell Echo Support,SkillGem,SkillGem,59694.0,114.4,19,79.62,stash,poe.ninja
T0_JACKPOT,Greater Chain Support,SkillGem,SkillGem,57920.0,111.0,12,11.06,stash,poe.ninja
T0_JACKPOT,Rage Support,SkillGem,SkillGem,52180.0,100.0,1,0,stash,poe.ninja
T0_JACKPOT,Stormbind of Teleportation,SkillGem,SkillGem,52180.0,100.0,11,0,stash,poe.ninja
T0_JACKPOT,Vaal Caustic Arrow,SkillGem,SkillGem,52180.0,100.0,1,0,stash,poe.ninja
T0_JACKPOT,The Miracle,Cards,DivinationCard,51661.0,,17220,41.43,exchange,poe.ninja
T0_JACKPOT,Ball Lightning of Static,SkillGem,SkillGem,51658.0,99.0,4,7.47,stash,poe.ninja
T0_JACKPOT,Flameblast of Contraction,SkillGem,SkillGem,51658.0,99.0,18,0,stash,poe.ninja
T0_JACKPOT,Companionship Support,SkillGem,SkillGem,51136.0,98.0,13,-12.1,stash,poe.ninja
T0_JACKPOT,Awakened Enhance Support,SkillGem,SkillGem,49571.0,95.0,10,1.09,stash,poe.ninja
T0_JACKPOT,Congregation Support,SkillGem,SkillGem,49571.0,95.0,5,-14.76,stash,poe.ninja
T0_JACKPOT,Ice Bite Support,SkillGem,SkillGem,49571.0,95.0,2,0,stash,poe.ninja
